age_cl,anveh_cl,ns_bg,cs_bg,franchise,anc_perm_cl,zone_bg,Formule,id
d.36-50,c.>=12,1,10,NON,c.11-20,3,Maxi,25828
d.36-50,a.0-3,1,10,OUI,e.>40,2,Maxi,50936
d.36-50,a.0-3,1,10,NON,c.11-20,1,Maxi,51888
f.>=70,c.>=12,1,10,OUI,e.>40,4,Medi,65449
e.51-69,c.>=12,1,10,NON,e.>40,2,Medi,87498
c.26-35,b.4-11,1,10,OUI,b.6-10,2,Medi,113294
d.36-50,c.>=12,1,10,OUI,e.>40,2,Medi,118339
d.36-50,b.4-11,1,10,OUI,e.>40,3,Maxi,173861
d.36-50,a.0-3,1,10,OUI,e.>40,2,Maxi,176244
d.36-50,c.>=12,1,10,OUI,e.>40,2,Medi,217844
c.26-35,a.0-3,1,11,NON,b.6-10,3,Maxi,33399
c.26-35,b.4-11,1,11,OUI,c.11-20,4,Maxi,101836
c.26-35,c.>=12,1,12,OUI,c.11-20,2,Medi,42316
e.51-69,c.>=12,1,14,OUI,e.>40,1,Medi,152718
f.>=70,c.>=12,1,15,OUI,e.>40,2,Mini,46121
c.26-35,c.>=12,1,15,OUI,c.11-20,3,Medi,191637
c.26-35,b.4-11,1,16,OUI,b.6-10,3,Maxi,74638
d.36-50,c.>=12,1,16,OUI,e.>40,3,Medi,96419
c.26-35,b.4-11,1,16,OUI,c.11-20,1,Maxi,97630
c.26-35,b.4-11,1,17,OUI,c.11-20,3,Maxi,169006
d.36-50,b.4-11,1,18,NON,c.11-20,4,Maxi,66138
c.26-35,a.0-3,1,19,OUI,b.6-10,3,Maxi,104495
c.26-35,a.0-3,1,19,OUI,c.11-20,5,Maxi,188545
e.51-69,b.4-11,1,19,OUI,e.>40,3,Medi,191441
e.51-69,b.4-11,1,19.5,NON,e.>40,5,Medi,5060
e.51-69,c.>=12,1,20,NON,e.>40,3,Medi,24070
e.51-69,c.>=12,1,20,NON,e.>40,3,Medi,40875
d.36-50,c.>=12,1,20,OUI,b.6-10,2,Medi,48741
c.26-35,a.0-3,1,20,OUI,c.11-20,2,Maxi,60668
d.36-50,c.>=12,1,20,OUI,e.>40,4,Maxi,203948
e.51-69,b.4-11,1,21,OUI,e.>40,5,Maxi,21894
